Laikotarpis,Rodiklis,Miestas,Matavimo vienetai,Reikšmė
2023,Nuolatinių gyventojų skaičius metų pradžioje,Viekšniai,asmenys,2180
2023,Nuolatinių gyventojų skaičius metų pradžioje,Žagarė,asmenys,1247
2023,Nuolatinių gyventojų skaičius metų pradžioje,Skaudvilė,asmenys,1370
2023,Nuolatinių gyventojų skaičius metų pradžioje,Ežerėlis,asmenys,1583
2023,Nuolatinių gyventojų skaičius metų pradžioje,Gelgaudiškis,asmenys,1522
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kudirkos Naumiestis,asmenys,1329
2023,Nuolatinių gyventojų skaičius metų pradžioje,Simnas,asmenys,1192
2023,Nuolatinių gyventojų skaičius metų pradžioje,Salantai,asmenys,1251
2023,Nuolatinių gyventojų skaičius metų pradžioje,Linkuva,asmenys,1217
2023,Nuolatinių gyventojų skaičius metų pradžioje,Ramygala,asmenys,1198
2023,Nuolatinių gyventojų skaičius metų pradžioje,Priekulė,asmenys,1251
2023,Nuolatinių gyventojų skaičius metų pradžioje,Veisiejai,asmenys,1054
2023,Nuolatinių gyventojų skaičius metų pradžioje,Daugai,asmenys,940
2023,Nuolatinių gyventojų skaičius metų pradžioje,Joniškėlis,asmenys,977
2023,Nuolatinių gyventojų skaičius metų pradžioje,Jieznas,asmenys,1024
2023,Nuolatinių gyventojų skaičius metų pradžioje,Obeliai,asmenys,814
2023,Nuolatinių gyventojų skaičius metų pradžioje,Virbalis,asmenys,870
2023,Nuolatinių gyventojų skaičius metų pradžioje,Varniai,asmenys,854
2023,Nuolatinių gyventojų skaičius metų pradžioje,Seda,asmenys,869
2023,Nuolatinių gyventojų skaičius metų pradžioje,Vabalninkas,asmenys,797
2023,Nuolatinių gyventojų skaičius metų pradžioje,Subačius,asmenys,877
2023,Nuolatinių gyventojų skaičius metų pradžioje,Baltoji Vokė,asmenys,991
2023,Nuolatinių gyventojų skaičius metų pradžioje,Dūkštas,asmenys,682
2023,Nuolatinių gyventojų skaičius metų pradžioje,Pandėlys,asmenys,695
2023,Nuolatinių gyventojų skaičius metų pradžioje,Dusetos,asmenys,479
2023,Nuolatinių gyventojų skaičius metų pradžioje,Užventis,asmenys,608
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kavarskas,asmenys,485
2023,Nuolatinių gyventojų skaičius metų pradžioje,Smalininkai,asmenys,847
2023,Nuolatinių gyventojų skaičius metų pradžioje,Troškūnai,asmenys,407
2023,Nuolatinių gyventojų skaičius metų pradžioje,Panemunė,asmenys,207
