"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87913"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35445"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35328"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35426"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35264"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio r. sav.","Miestas ir kaimas","asmenys","35225"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","23377"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22829"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","23148"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22668"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Pasvalio r. sav.","Miestas ir kaimas","asmenys","22296"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28728"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28072"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28715"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","28204"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Rokiškio r. sav.","Miestas ir kaimas","asmenys","27790"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","262487"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","261452"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","262220"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","261145"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių apskritis","Miestas ir kaimas","asmenys","261764"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Akmenės r. sav.","Miestas ir kaimas","asmenys","19124"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Akmenės r. sav.","Miestas ir kaimas","asmenys","18772"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Akmenės r. sav.","Miestas ir kaimas","asmenys","19585"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Akmenės r. sav.","Miestas ir kaimas","asmenys","19259"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Akmenės r. sav.","Miestas ir kaimas","asmenys","19286"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Joniškio r. sav.","Miestas ir kaimas","asmenys","21115"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Joniškio r. sav.","Miestas ir kaimas","asmenys","20730"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Joniškio r. sav.","Miestas ir kaimas","asmenys","21284"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Joniškio r. sav.","Miestas ir kaimas","asmenys","20898"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Joniškio r. sav.","Miestas ir kaimas","asmenys","20534"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kelmės r. sav.","Miestas ir kaimas","asmenys","26019"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kelmės r. sav.","Miestas ir kaimas","asmenys","25383"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kelmės r. sav.","Miestas ir kaimas","asmenys","26026"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kelmės r. sav.","Miestas ir kaimas","asmenys","25401"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kelmės r. sav.","Miestas ir kaimas","asmenys","24876"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Pakruojo r. sav.","Miestas ir kaimas","asmenys","19071"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18607"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18827"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18497"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18063"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Radviliškio r. sav.","Miestas ir kaimas","asmenys","35520"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Radviliškio r. sav.","Miestas ir kaimas","asmenys","35002"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34928"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34559"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34067"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių m. sav.","Miestas ir kaimas","asmenys","100131"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių m. sav.","Miestas ir kaimas","asmenys","101511"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių m. sav.","Miestas ir kaimas","asmenys","100653"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių m. sav.","Miestas ir kaimas","asmenys","101756"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių m. sav.","Miestas ir kaimas","asmenys","104300"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41507"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41447"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40917"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40775"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40638"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","93695"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","91822"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","92667"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","90893"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės apskritis","Miestas ir kaimas","asmenys","90652"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25452"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24835"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","25174"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24668"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24803"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7543"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7285"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7440"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7236"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Pagėgių sav.","Miestas ir kaimas","asmenys","7088"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","22410"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","21899"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","22051"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","21586"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šilalės r. sav.","Miestas ir kaimas","asmenys","21179"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","38290"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37803"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","38002"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37403"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Tauragės r. sav.","Miestas ir kaimas","asmenys","37582"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","132082"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","130613"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","133376"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","131691"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Telšių apskritis","Miestas ir kaimas","asmenys","131431"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51497"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51056"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","52120"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51612"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51830"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33284"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","32991"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33665"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33251"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Plungės r. sav.","Miestas ir kaimas","asmenys","33207"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7413"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7260"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7381"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7292"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Rietavo sav.","Miestas ir kaimas","asmenys","7253"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39888"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39306"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","40210"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39536"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Telšių r. sav.","Miestas ir kaimas","asmenys","39141"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","127029"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","124963"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","127581"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","125644"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Utenos apskritis","Miestas ir kaimas","asmenys","125462"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Anykščių r. sav.","Miestas ir kaimas","asmenys","23602"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Anykščių r. sav.","Miestas ir kaimas","asmenys","23038"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Anykščių r. sav.","Miestas ir kaimas","asmenys","23321"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Anykščių r. sav.","Miestas ir kaimas","asmenys","22794"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Anykščių r. sav.","Miestas ir kaimas","asmenys","22651"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14868"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14430"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14782"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14464"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14120"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Molėtų r. sav.","Miestas ir kaimas","asmenys","17436"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Molėtų r. sav.","Miestas ir kaimas","asmenys","17153"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Molėtų r. sav.","Miestas ir kaimas","asmenys","17222"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Molėtų r. sav.","Miestas ir kaimas","asmenys","16926"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Molėtų r. sav.","Miestas ir kaimas","asmenys","16732"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Utenos r. sav.","Miestas ir kaimas","asmenys","37435"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Utenos r. sav.","Miestas ir kaimas","asmenys","37184"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Utenos r. sav.","Miestas ir kaimas","asmenys","37509"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Utenos r. sav.","Miestas ir kaimas","asmenys","37266"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Utenos r. sav.","Miestas ir kaimas","asmenys","37555"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Visagino sav.","Miestas ir kaimas","asmenys","18414"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Visagino sav.","Miestas ir kaimas","asmenys","18243"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Visagino sav.","Miestas ir kaimas","asmenys","19633"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Visagino sav.","Miestas ir kaimas","asmenys","19404"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Visagino sav.","Miestas ir kaimas","asmenys","19826"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Zarasų r. sav.","Miestas ir kaimas","asmenys","15274"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Zarasų r. sav.","Miestas ir kaimas","asmenys","14915"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Zarasų r. sav.","Miestas ir kaimas","asmenys","15114"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Zarasų r. sav.","Miestas ir kaimas","asmenys","14790"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Zarasų r. sav.","Miestas ir kaimas","asmenys","14578"
