"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","561836"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","556490"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","563012"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","591632"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98456"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","100146"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","96295"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98001"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","101943"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1983646"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1973579"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1999964"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1988048"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2008656"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135906"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","134070"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","137741"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135703"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus apskritis","Miestas ir kaimas","asmenys","135367"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","50422"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","49895"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","52727"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","51793"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus m. sav.","Miestas ir kaimas","asmenys","51856"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus r. sav.","Miestas ir kaimas","asmenys","26153"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus r. sav.","Miestas ir kaimas","asmenys","25885"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus r. sav.","Miestas ir kaimas","asmenys","25581"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus r. sav.","Miestas ir kaimas","asmenys","25429"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Alytaus r. sav.","Miestas ir kaimas","asmenys","25356"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Druskininkų sav.","Miestas ir kaimas","asmenys","19360"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Druskininkų sav.","Miestas ir kaimas","asmenys","19122"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Druskininkų sav.","Miestas ir kaimas","asmenys","20049"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Druskininkų sav.","Miestas ir kaimas","asmenys","19843"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Druskininkų sav.","Miestas ir kaimas","asmenys","20229"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18695"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18324"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18247"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Lazdijų r. sav.","Miestas ir kaimas","asmenys","17892"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Lazdijų r. sav.","Miestas ir kaimas","asmenys","17452"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Varėnos r. sav.","Miestas ir kaimas","asmenys","21276"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Varėnos r. sav.","Miestas ir kaimas","asmenys","20844"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Varėnos r. sav.","Miestas ir kaimas","asmenys","21137"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Varėnos r. sav.","Miestas ir kaimas","asmenys","20746"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Varėnos r. sav.","Miestas ir kaimas","asmenys","20474"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","561430"
